instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time_categories,user_categories
18,2011-01-01,1,0,1,17,0,6,0,2,18.04,21.97,82.0,19.0012,15,52,67,Sore,Mayoritas Pengguna Terdaftar
19,2011-01-01,1,0,1,18,0,6,0,3,17.22,21.21,88.0,16.997899999999998,9,26,35,Malam,Mayoritas Pengguna Terdaftar
20,2011-01-01,1,0,1,19,0,6,0,3,17.22,21.21,88.0,16.997899999999998,6,31,37,Malam,Mayoritas Pengguna Terdaftar
21,2011-01-01,1,0,1,20,0,6,0,2,16.400000000000002,20.455000000000002,87.0,16.997899999999998,11,25,36,Malam,Mayoritas Pengguna Terdaftar
22,2011-01-01,1,0,1,21,0,6,0,2,16.400000000000002,20.455000000000002,87.0,12.998000000000001,3,31,34,Malam,Mayoritas Pengguna Terdaftar
23,2011-01-01,1,0,1,22,0,6,0,2,16.400000000000002,20.455000000000002,94.0,15.001299999999999,11,17,28,Malam,Mayoritas Pengguna Terdaftar
24,2011-01-01,1,0,1,23,0,6,0,2,18.86,22.725,88.0,19.999499999999998,15,24,39,Malam,Mayoritas Pengguna Terdaftar
25,2011-01-02,1,0,1,0,0,0,0,2,18.86,22.725,88.0,19.999499999999998,4,13,17,Dini Hari,Mayoritas Pengguna Terdaftar
26,2011-01-02,1,0,1,1,0,0,0,2,18.04,21.97,94.0,16.997899999999998,1,16,17,Dini Hari,Mayoritas Pengguna Terdaftar
27,2011-01-02,1,0,1,2,0,0,0,2,17.22,21.21,100.0,19.0012,1,8,9,Dini Hari,Mayoritas Pengguna Terdaftar
28,2011-01-02,1,0,1,3,0,0,0,2,18.86,22.725,94.0,12.998000000000001,2,4,6,Dini Hari,Mayoritas Pengguna Terdaftar
29,2011-01-02,1,0,1,4,0,0,0,2,18.86,22.725,94.0,12.998000000000001,2,1,3,Dini Hari,Mayoritas Pengguna Biasa
30,2011-01-02,1,0,1,6,0,0,0,3,17.22,21.21,77.0,19.999499999999998,0,2,2,Pagi,Mayoritas Pengguna Terdaftar
31,2011-01-02,1,0,1,7,0,0,0,2,16.400000000000002,20.455000000000002,76.0,12.998000000000001,0,1,1,Pagi,Mayoritas Pengguna Terdaftar
32,2011-01-02,1,0,1,8,0,0,0,3,16.400000000000002,20.455000000000002,71.0,15.001299999999999,0,8,8,Pagi,Mayoritas Pengguna Terdaftar
33,2011-01-02,1,0,1,9,0,0,0,2,15.58,19.695,76.0,15.001299999999999,1,19,20,Pagi,Mayoritas Pengguna Terdaftar
34,2011-01-02,1,0,1,10,0,0,0,2,14.76,17.424999999999997,81.0,15.001299999999999,7,46,53,Pagi,Mayoritas Pengguna Terdaftar
35,2011-01-02,1,0,1,11,0,0,0,2,14.76,16.665,71.0,16.997899999999998,16,54,70,Siang,Mayoritas Pengguna Terdaftar
36,2011-01-02,1,0,1,12,0,0,0,2,14.76,16.665,66.0,19.999499999999998,20,73,93,Siang,Mayoritas Pengguna Terdaftar
37,2011-01-02,1,0,1,13,0,0,0,2,14.76,17.424999999999997,66.0,8.9981,11,64,75,Siang,Mayoritas Pengguna Terdaftar
38,2011-01-02,1,0,1,14,0,0,0,3,14.76,17.424999999999997,76.0,12.998000000000001,4,55,59,Siang,Mayoritas Pengguna Terdaftar
39,2011-01-02,1,0,1,15,0,0,0,3,13.940000000000001,16.665,81.0,11.0014,19,55,74,Sore,Mayoritas Pengguna Terdaftar
40,2011-01-02,1,0,1,16,0,0,0,3,13.940000000000001,16.665,71.0,11.0014,9,67,76,Sore,Mayoritas Pengguna Terdaftar
41,2011-01-02,1,0,1,17,0,0,0,1,13.940000000000001,16.665,56.99999999999999,12.998000000000001,7,58,65,Sore,Mayoritas Pengguna Terdaftar
42,2011-01-02,1,0,1,18,0,0,0,2,14.76,16.665,46.0,22.0028,10,43,53,Malam,Mayoritas Pengguna Terdaftar
43,2011-01-02,1,0,1,19,0,0,0,1,13.120000000000001,14.395,42.0,30.002599999999997,1,29,30,Malam,Mayoritas Pengguna Terdaftar
44,2011-01-02,1,0,1,20,0,0,0,1,12.299999999999999,13.635,39.0,23.9994,5,17,22,Malam,Mayoritas Pengguna Terdaftar
45,2011-01-02,1,0,1,21,0,0,0,1,10.66,11.365,44.0,22.0028,11,20,31,Malam,Mayoritas Pengguna Terdaftar
46,2011-01-02,1,0,1,22,0,0,0,1,9.84,10.605,44.0,19.999499999999998,0,9,9,Malam,Mayoritas Pengguna Terdaftar
47,2011-01-02,1,0,1,23,0,0,0,1,9.02,11.365,47.0,11.0014,0,8,8,Malam,Mayoritas Pengguna Terdaftar
48,2011-01-03,1,0,1,0,0,1,1,1,9.02,9.85,44.0,23.9994,0,5,5,Dini Hari,Mayoritas Pengguna Terdaftar
49,2011-01-03,1,0,1,1,0,1,1,1,8.200000000000001,8.334999999999999,44.0,27.999299999999998,0,2,2,Dini Hari,Mayoritas Pengguna Terdaftar
50,2011-01-03,1,0,1,4,0,1,1,1,6.5600000000000005,6.819999999999999,47.0,26.0027,0,1,1,Dini Hari,Mayoritas Pengguna Terdaftar
51,2011-01-03,1,0,1,5,0,1,1,1,6.5600000000000005,6.819999999999999,47.0,19.0012,0,3,3,Dini Hari,Mayoritas Pengguna Terdaftar
52,2011-01-03,1,0,1,6,0,1,1,1,5.74,5.305,50.0,26.0027,0,30,30,Pagi,Mayoritas Pengguna Terdaftar
53,2011-01-03,1,0,1,7,0,1,1,1,5.74,6.819999999999999,50.0,12.998000000000001,1,63,64,Pagi,Mayoritas Pengguna Terdaftar
54,2011-01-03,1,0,1,8,0,1,1,1,5.74,6.0600000000000005,50.0,19.0012,1,153,154,Pagi,Mayoritas Pengguna Terdaftar
55,2011-01-03,1,0,1,9,0,1,1,1,6.5600000000000005,6.819999999999999,43.0,26.0027,7,81,88,Pagi,Mayoritas Pengguna Terdaftar
56,2011-01-03,1,0,1,10,0,1,1,1,7.38,8.334999999999999,43.0,16.997899999999998,11,33,44,Pagi,Mayoritas Pengguna Terdaftar
57,2011-01-03,1,0,1,11,0,1,1,1,8.200000000000001,9.09,40.0,22.0028,10,41,51,Siang,Mayoritas Pengguna Terdaftar
58,2011-01-03,1,0,1,12,0,1,1,1,9.02,10.605,35.0,19.999499999999998,13,48,61,Siang,Mayoritas Pengguna Terdaftar
59,2011-01-03,1,0,1,13,0,1,1,1,9.84,10.605,35.0,19.0012,8,53,61,Siang,Mayoritas Pengguna Terdaftar
60,2011-01-03,1,0,1,14,0,1,1,1,10.66,12.120000000000001,30.0,19.0012,11,66,77,Siang,Mayoritas Pengguna Terdaftar
61,2011-01-03,1,0,1,15,0,1,1,1,10.66,12.120000000000001,30.0,16.997899999999998,14,58,72,Sore,Mayoritas Pengguna Terdaftar
62,2011-01-03,1,0,1,16,0,1,1,1,10.66,12.120000000000001,30.0,16.997899999999998,9,67,76,Sore,Mayoritas Pengguna Terdaftar
63,2011-01-03,1,0,1,17,0,1,1,1,9.84,11.365,30.0,15.001299999999999,11,146,157,Sore,Mayoritas Pengguna Terdaftar
64,2011-01-03,1,0,1,18,0,1,1,1,9.84,12.879999999999999,32.0,7.0015,9,148,157,Malam,Mayoritas Pengguna Terdaftar
65,2011-01-03,1,0,1,19,0,1,1,1,8.200000000000001,12.879999999999999,47.0,0.0,8,102,110,Malam,Mayoritas Pengguna Terdaftar
66,2011-01-03,1,0,1,20,0,1,1,1,8.200000000000001,11.365,47.0,7.0015,3,49,52,Malam,Mayoritas Pengguna Terdaftar
67,2011-01-03,1,0,1,21,0,1,1,1,7.38,9.85,64.0,8.9981,3,49,52,Malam,Mayoritas Pengguna Terdaftar
68,2011-01-03,1,0,1,22,0,1,1,1,5.74,7.575,69.0,8.9981,0,20,20,Malam,Mayoritas Pengguna Terdaftar
69,2011-01-03,1,0,1,23,0,1,1,1,7.38,10.605,55.00000000000001,7.0015,1,11,12,Malam,Mayoritas Pengguna Terdaftar
70,2011-01-04,1,0,1,0,0,2,1,1,6.5600000000000005,9.09,55.00000000000001,7.0015,0,5,5,Dini Hari,Mayoritas Pengguna Terdaftar
71,2011-01-04,1,0,1,1,0,2,1,1,6.5600000000000005,9.09,59.0,7.0015,0,2,2,Dini Hari,Mayoritas Pengguna Terdaftar
72,2011-01-04,1,0,1,2,0,2,1,1,5.74,7.575,63.0,8.9981,0,1,1,Dini Hari,Mayoritas Pengguna Terdaftar
73,2011-01-04,1,0,1,4,0,2,1,1,5.74,9.09,63.0,6.0032,0,2,2,Dini Hari,Mayoritas Pengguna Terdaftar
74,2011-01-04,1,0,1,5,0,2,1,1,4.92,7.575,68.0,7.0015,0,4,4,Dini Hari,Mayoritas Pengguna Terdaftar
75,2011-01-04,1,0,1,6,0,2,1,1,4.92,7.575,74.0,7.0015,0,36,36,Pagi,Mayoritas Pengguna Terdaftar
76,2011-01-04,1,0,1,7,0,2,1,1,4.92,7.575,74.0,8.9981,2,92,94,Pagi,Mayoritas Pengguna Terdaftar
77,2011-01-04,1,0,1,8,0,2,1,1,5.74,7.575,69.0,11.0014,2,177,179,Pagi,Mayoritas Pengguna Terdaftar
78,2011-01-04,1,0,1,9,0,2,1,1,6.5600000000000005,7.575,64.0,15.001299999999999,2,98,100,Pagi,Mayoritas Pengguna Terdaftar
79,2011-01-04,1,0,1,10,0,2,1,2,6.5600000000000005,6.819999999999999,69.0,22.0028,5,37,42,Pagi,Mayoritas Pengguna Terdaftar
80,2011-01-04,1,0,1,11,0,2,1,1,9.02,10.605,51.0,19.999499999999998,7,50,57,Siang,Mayoritas Pengguna Terdaftar
81,2011-01-04,1,0,1,12,0,2,1,1,9.02,11.365,51.0,11.0014,12,66,78,Siang,Mayoritas Pengguna Terdaftar
82,2011-01-04,1,0,1,13,0,2,1,1,9.84,11.365,56.00000000000001,12.998000000000001,18,79,97,Siang,Mayoritas Pengguna Terdaftar
83,2011-01-04,1,0,1,14,0,2,1,1,10.66,12.879999999999999,52.0,15.001299999999999,9,54,63,Siang,Mayoritas Pengguna Terdaftar
84,2011-01-04,1,0,1,15,0,2,1,1,11.48,13.635,52.0,16.997899999999998,17,48,65,Sore,Mayoritas Pengguna Terdaftar
85,2011-01-04,1,0,1,16,0,2,1,1,12.299999999999999,14.395,49.0,16.997899999999998,15,68,83,Sore,Mayoritas Pengguna Terdaftar
86,2011-01-04,1,0,1,17,0,2,1,1,11.48,13.635,48.0,15.001299999999999,10,202,212,Sore,Mayoritas Pengguna Terdaftar
87,2011-01-04,1,0,1,18,0,2,1,1,10.66,12.879999999999999,48.0,12.998000000000001,3,179,182,Malam,Mayoritas Pengguna Terdaftar
88,2011-01-04,1,0,1,19,0,2,1,1,9.84,12.879999999999999,48.0,7.0015,2,110,112,Malam,Mayoritas Pengguna Terdaftar
89,2011-01-04,1,0,1,20,0,2,1,1,9.84,12.879999999999999,48.0,7.0015,1,53,54,Malam,Mayoritas Pengguna Terdaftar
90,2011-01-04,1,0,1,21,0,2,1,1,9.02,13.635,64.0,0.0,0,48,48,Malam,Mayoritas Pengguna Terdaftar
91,2011-01-04,1,0,1,22,0,2,1,1,9.02,12.879999999999999,64.0,6.0032,1,34,35,Malam,Mayoritas Pengguna Terdaftar
92,2011-01-04,1,0,1,23,0,2,1,1,8.200000000000001,11.365,69.0,6.0032,2,9,11,Malam,Mayoritas Pengguna Terdaftar
93,2011-01-05,1,0,1,0,0,3,1,1,8.200000000000001,12.879999999999999,64.0,0.0,0,6,6,Dini Hari,Mayoritas Pengguna Terdaftar
94,2011-01-05,1,0,1,1,0,3,1,1,6.5600000000000005,9.85,74.0,6.0032,0,6,6,Dini Hari,Mayoritas Pengguna Terdaftar
95,2011-01-05,1,0,1,2,0,3,1,1,6.5600000000000005,9.85,74.0,6.0032,0,2,2,Dini Hari,Mayoritas Pengguna Terdaftar
96,2011-01-05,1,0,1,4,0,3,1,1,9.84,11.365,48.0,15.001299999999999,0,2,2,Dini Hari,Mayoritas Pengguna Terdaftar
97,2011-01-05,1,0,1,5,0,3,1,1,9.02,11.365,47.0,11.0014,0,3,3,Dini Hari,Mayoritas Pengguna Terdaftar
98,2011-01-05,1,0,1,6,0,3,1,1,8.200000000000001,9.85,47.0,15.001299999999999,0,33,33,Pagi,Mayoritas Pengguna Terdaftar
99,2011-01-05,1,0,1,7,0,3,1,1,7.38,9.09,43.0,12.998000000000001,1,87,88,Pagi,Mayoritas Pengguna Terdaftar
100,2011-01-05,1,0,1,8,0,3,1,1,8.200000000000001,9.09,40.0,19.999499999999998,3,192,195,Pagi,Mayoritas Pengguna Terdaftar
101,2011-01-05,1,0,1,9,0,3,1,1,9.02,9.85,37.0,22.0028,6,109,115,Pagi,Mayoritas Pengguna Terdaftar
102,2011-01-05,1,0,1,10,0,3,1,1,9.02,9.85,37.0,22.0028,4,53,57,Pagi,Mayoritas Pengguna Terdaftar
103,2011-01-05,1,0,1,11,0,3,1,1,10.66,11.365,33.0,22.0028,12,34,46,Siang,Mayoritas Pengguna Terdaftar
104,2011-01-05,1,0,1,12,0,3,1,1,10.66,11.365,33.0,22.0028,5,74,79,Siang,Mayoritas Pengguna Terdaftar
105,2011-01-05,1,0,1,13,0,3,1,1,11.48,12.879999999999999,30.0,19.999499999999998,6,65,71,Siang,Mayoritas Pengguna Terdaftar
106,2011-01-05,1,0,1,14,0,3,1,1,12.299999999999999,14.395,28.000000000000004,12.998000000000001,10,52,62,Siang,Mayoritas Pengguna Terdaftar
107,2011-01-05,1,0,1,15,0,3,1,1,12.299999999999999,14.395,28.000000000000004,12.998000000000001,7,55,62,Sore,Mayoritas Pengguna Terdaftar
108,2011-01-05,1,0,1,16,0,3,1,1,12.299999999999999,15.909999999999998,28.000000000000004,6.0032,4,85,89,Sore,Mayoritas Pengguna Terdaftar
109,2011-01-05,1,0,1,17,0,3,1,1,9.84,11.365,38.0,12.998000000000001,4,186,190,Sore,Mayoritas Pengguna Terdaftar
110,2011-01-05,1,0,1,18,0,3,1,1,9.84,12.120000000000001,38.0,8.9981,3,166,169,Malam,Mayoritas Pengguna Terdaftar
111,2011-01-05,1,0,1,19,0,3,1,1,9.84,12.879999999999999,38.0,7.0015,5,127,132,Malam,Mayoritas Pengguna Terdaftar
112,2011-01-05,1,0,1,20,0,3,1,1,9.02,11.365,47.0,11.0014,7,82,89,Malam,Mayoritas Pengguna Terdaftar
113,2011-01-05,1,0,1,21,0,3,1,1,8.200000000000001,9.85,51.0,12.998000000000001,3,40,43,Malam,Mayoritas Pengguna Terdaftar
114,2011-01-05,1,0,1,22,0,3,1,1,7.38,9.85,55.00000000000001,8.9981,1,41,42,Malam,Mayoritas Pengguna Terdaftar
115,2011-01-05,1,0,1,23,0,3,1,1,8.200000000000001,12.879999999999999,47.0,0.0,1,18,19,Malam,Mayoritas Pengguna Terdaftar
116,2011-01-06,1,0,1,0,0,4,1,1,7.38,12.120000000000001,55.00000000000001,0.0,0,11,11,Dini Hari,Mayoritas Pengguna Terdaftar
117,2011-01-06,1,0,1,1,0,4,1,1,6.5600000000000005,11.365,64.0,0.0,0,4,4,Dini Hari,Mayoritas Pengguna Terdaftar
118,2011-01-06,1,0,1,2,0,4,1,1,6.5600000000000005,11.365,64.0,0.0,0,2,2,Dini Hari,Mayoritas Pengguna Terdaftar
119,2011-01-06,1,0,1,4,0,4,1,2,6.5600000000000005,9.85,64.0,6.0032,0,1,1,Dini Hari,Mayoritas Pengguna Terdaftar
120,2011-01-06,1,0,1,5,0,4,1,2,5.74,9.09,69.0,6.0032,0,4,4,Dini Hari,Mayoritas Pengguna Terdaftar
121,2011-01-06,1,0,1,6,0,4,1,2,5.74,8.334999999999999,63.0,7.0015,0,36,36,Pagi,Mayoritas Pengguna Terdaftar
122,2011-01-06,1,0,1,7,0,4,1,2,6.5600000000000005,11.365,59.0,0.0,0,95,95,Pagi,Mayoritas Pengguna Terdaftar
123,2011-01-06,1,0,1,8,0,4,1,1,6.5600000000000005,11.365,59.0,0.0,3,216,219,Pagi,Mayoritas Pengguna Terdaftar
124,2011-01-06,1,0,1,9,0,4,1,2,7.38,12.120000000000001,51.0,0.0,6,116,122,Pagi,Mayoritas Pengguna Terdaftar
125,2011-01-06,1,0,1,10,0,4,1,1,8.200000000000001,12.879999999999999,47.0,0.0,3,42,45,Pagi,Mayoritas Pengguna Terdaftar
126,2011-01-06,1,0,1,11,0,4,1,1,9.02,12.879999999999999,44.0,6.0032,2,57,59,Siang,Mayoritas Pengguna Terdaftar
127,2011-01-06,1,0,1,12,0,4,1,1,10.66,14.395,35.0,0.0,6,78,84,Siang,Mayoritas Pengguna Terdaftar
128,2011-01-06,1,0,1,13,0,4,1,1,10.66,13.635,35.0,7.0015,12,55,67,Siang,Mayoritas Pengguna Terdaftar
129,2011-01-06,1,0,1,14,0,4,1,1,11.48,13.635,36.0,11.0014,11,59,70,Siang,Mayoritas Pengguna Terdaftar
130,2011-01-06,1,0,1,15,0,4,1,1,11.48,13.635,36.0,0.0,8,54,62,Sore,Mayoritas Pengguna Terdaftar
131,2011-01-06,1,0,1,16,0,4,1,1,10.66,12.879999999999999,38.0,11.0014,12,74,86,Sore,Mayoritas Pengguna Terdaftar
132,2011-01-06,1,0,1,17,0,4,1,1,9.02,11.365,51.0,11.0014,9,163,172,Sore,Mayoritas Pengguna Terdaftar
133,2011-01-06,1,0,1,18,0,4,1,1,9.02,11.365,51.0,8.9981,5,158,163,Malam,Mayoritas Pengguna Terdaftar
134,2011-01-06,1,0,1,19,0,4,1,1,9.02,12.879999999999999,55.00000000000001,6.0032,3,109,112,Malam,Mayoritas Pengguna Terdaftar
135,2011-01-06,1,0,1,20,0,4,1,1,8.200000000000001,10.605,51.0,11.0014,3,66,69,Malam,Mayoritas Pengguna Terdaftar
136,2011-01-06,1,0,1,21,0,4,1,2,9.02,10.605,55.00000000000001,15.001299999999999,0,48,48,Malam,Mayoritas Pengguna Terdaftar
137,2011-01-06,1,0,1,22,0,4,1,2,9.02,10.605,51.0,19.0012,1,51,52,Malam,Mayoritas Pengguna Terdaftar
138,2011-01-06,1,0,1,23,0,4,1,2,8.200000000000001,9.85,59.0,12.998000000000001,4,19,23,Malam,Mayoritas Pengguna Terdaftar
139,2011-01-07,1,0,1,0,0,5,1,2,8.200000000000001,9.85,64.0,12.998000000000001,4,13,17,Dini Hari,Mayoritas Pengguna Terdaftar
140,2011-01-07,1,0,1,1,0,5,1,2,8.200000000000001,9.85,69.0,15.001299999999999,2,5,7,Dini Hari,Mayoritas Pengguna Terdaftar
141,2011-01-07,1,0,1,2,0,5,1,2,8.200000000000001,9.85,69.0,15.001299999999999,0,1,1,Dini Hari,Mayoritas Pengguna Terdaftar
142,2011-01-07,1,0,1,4,0,5,1,2,8.200000000000001,10.605,69.0,8.9981,0,1,1,Dini Hari,Mayoritas Pengguna Terdaftar
143,2011-01-07,1,0,1,5,0,5,1,3,9.02,13.635,55.00000000000001,0.0,0,5,5,Dini Hari,Mayoritas Pengguna Terdaftar
144,2011-01-07,1,0,1,6,0,5,1,2,8.200000000000001,12.879999999999999,69.0,0.0,8,26,34,Pagi,Mayoritas Pengguna Terdaftar
145,2011-01-07,1,0,1,7,0,5,1,1,8.200000000000001,10.605,69.0,8.9981,8,76,84,Pagi,Mayoritas Pengguna Terdaftar
146,2011-01-07,1,0,1,8,0,5,1,1,8.200000000000001,9.85,51.0,16.997899999999998,20,190,210,Pagi,Mayoritas Pengguna Terdaftar
147,2011-01-07,1,0,1,9,0,5,1,1,8.200000000000001,9.09,47.0,19.999499999999998,9,125,134,Pagi,Mayoritas Pengguna Terdaftar
148,2011-01-07,1,0,1,10,0,5,1,1,9.02,9.85,37.0,22.0028,16,47,63,Pagi,Mayoritas Pengguna Terdaftar
149,2011-01-07,1,0,1,11,0,5,1,2,8.200000000000001,9.85,40.0,15.001299999999999,19,48,67,Siang,Mayoritas Pengguna Terdaftar
150,2011-01-07,1,0,1,12,0,5,1,2,8.200000000000001,9.85,37.0,16.997899999999998,9,50,59,Siang,Mayoritas Pengguna Terdaftar
151,2011-01-07,1,0,1,13,0,5,1,2,8.200000000000001,9.09,37.0,19.0012,9,64,73,Siang,Mayoritas Pengguna Terdaftar
152,2011-01-07,1,0,1,14,0,5,1,2,8.200000000000001,9.85,40.0,16.997899999999998,7,43,50,Siang,Mayoritas Pengguna Terdaftar
153,2011-01-07,1,0,1,15,0,5,1,2,8.200000000000001,10.605,37.0,11.0014,9,63,72,Sore,Mayoritas Pengguna Terdaftar
154,2011-01-07,1,0,1,16,0,5,1,2,8.200000000000001,10.605,37.0,11.0014,5,82,87,Sore,Mayoritas Pengguna Terdaftar
155,2011-01-07,1,0,1,17,0,5,1,2,8.200000000000001,12.879999999999999,37.0,0.0,9,178,187,Sore,Mayoritas Pengguna Terdaftar
156,2011-01-07,1,0,1,18,0,5,1,1,8.200000000000001,11.365,40.0,6.0032,7,116,123,Malam,Mayoritas Pengguna Terdaftar
157,2011-01-07,1,0,1,19,0,5,1,1,6.5600000000000005,9.85,55.00000000000001,6.0032,3,92,95,Malam,Mayoritas Pengguna Terdaftar
158,2011-01-07,1,0,1,20,0,5,1,1,7.38,10.605,47.0,7.0015,1,50,51,Malam,Mayoritas Pengguna Terdaftar
159,2011-01-07,1,0,1,21,0,5,1,1,7.38,9.85,47.0,8.9981,0,39,39,Malam,Mayoritas Pengguna Terdaftar
160,2011-01-07,1,0,1,22,0,5,1,2,7.38,9.85,43.0,11.0014,2,34,36,Malam,Mayoritas Pengguna Terdaftar
161,2011-01-07,1,0,1,23,0,5,1,2,7.38,9.85,51.0,11.0014,1,14,15,Malam,Mayoritas Pengguna Terdaftar
162,2011-01-08,1,0,1,0,0,6,0,2,7.38,9.85,51.0,11.0014,1,24,25,Dini Hari,Mayoritas Pengguna Terdaftar
163,2011-01-08,1,0,1,1,0,6,0,2,7.38,10.605,55.00000000000001,6.0032,1,15,16,Dini Hari,Mayoritas Pengguna Terdaftar
164,2011-01-08,1,0,1,2,0,6,0,2,7.38,12.120000000000001,55.00000000000001,0.0,3,13,16,Dini Hari,Mayoritas Pengguna Terdaftar
165,2011-01-08,1,0,1,3,0,6,0,3,7.38,9.85,55.00000000000001,11.0014,0,7,7,Dini Hari,Mayoritas Pengguna Terdaftar
166,2011-01-08,1,0,1,4,0,6,0,3,7.38,9.85,55.00000000000001,11.0014,0,1,1,Dini Hari,Mayoritas Pengguna Terdaftar
167,2011-01-08,1,0,1,5,0,6,0,2,6.5600000000000005,8.334999999999999,74.0,11.0014,0,5,5,Dini Hari,Mayoritas Pengguna Terdaftar
168,2011-01-08,1,0,1,6,0,6,0,2,6.5600000000000005,8.334999999999999,74.0,11.0014,0,2,2,Pagi,Mayoritas Pengguna Terdaftar
169,2011-01-08,1,0,1,7,0,6,0,2,6.5600000000000005,9.09,74.0,7.0015,1,8,9,Pagi,Mayoritas Pengguna Terdaftar
170,2011-01-08,1,0,1,8,0,6,0,3,6.5600000000000005,9.09,93.0,7.0015,0,15,15,Pagi,Mayoritas Pengguna Terdaftar
171,2011-01-08,1,0,1,9,0,6,0,3,6.5600000000000005,9.09,93.0,7.0015,0,20,20,Pagi,Mayoritas Pengguna Terdaftar
172,2011-01-08,1,0,1,10,0,6,0,2,7.38,9.85,80.0,11.0014,5,56,61,Pagi,Mayoritas Pengguna Terdaftar
173,2011-01-08,1,0,1,11,0,6,0,2,8.200000000000001,9.09,69.0,26.0027,2,60,62,Siang,Mayoritas Pengguna Terdaftar
174,2011-01-08,1,0,1,12,0,6,0,2,8.200000000000001,9.09,59.0,23.9994,8,90,98,Siang,Mayoritas Pengguna Terdaftar
175,2011-01-08,1,0,1,13,0,6,0,1,8.200000000000001,9.09,44.0,22.0028,7,95,102,Siang,Mayoritas Pengguna Terdaftar
176,2011-01-08,1,0,1,14,0,6,0,1,8.200000000000001,8.334999999999999,32.0,32.9975,12,83,95,Siang,Mayoritas Pengguna Terdaftar
177,2011-01-08,1,0,1,15,0,6,0,1,8.200000000000001,8.334999999999999,32.0,30.002599999999997,5,69,74,Sore,Mayoritas Pengguna Terdaftar
178,2011-01-08,1,0,1,16,0,6,0,1,7.38,6.819999999999999,28.999999999999996,30.002599999999997,8,68,76,Sore,Mayoritas Pengguna Terdaftar
179,2011-01-08,1,0,1,17,0,6,0,1,6.5600000000000005,6.0600000000000005,37.0,36.9974,5,64,69,Sore,Mayoritas Pengguna Terdaftar
180,2011-01-08,1,0,1,18,0,6,0,1,5.74,6.0600000000000005,39.0,19.999499999999998,3,52,55,Malam,Mayoritas Pengguna Terdaftar
181,2011-01-08,1,0,1,19,0,6,0,1,5.74,6.0600000000000005,36.0,16.997899999999998,4,26,30,Malam,Mayoritas Pengguna Terdaftar
182,2011-01-08,1,0,1,20,0,6,0,1,4.92,6.0600000000000005,36.0,16.997899999999998,0,28,28,Malam,Mayoritas Pengguna Terdaftar
183,2011-01-08,1,0,1,21,0,6,0,1,4.92,5.305,39.0,23.9994,2,35,37,Malam,Mayoritas Pengguna Terdaftar
184,2011-01-08,1,0,1,22,0,6,0,1,4.92,5.305,36.0,26.0027,1,33,34,Malam,Mayoritas Pengguna Terdaftar
